web-scraper-order,web-scraper-start-url,bookurl,bookurl-href,booktitle,bookseries,booknumber,bookauthor,bookcoverart,booktagline,publication,wikipagetext
"1585613037-1502","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Aloha,_Baby-sitters!","https://babysittersclub.fandom.com/wiki/Aloha,_Baby-sitters!","Aloha, Baby-sitters!","Super Special","13","Ann M. Martin, Peter Lerangis","Hodges Soileau","Every school trip should be like this!","July 1996","If only the Baby-sitters could stay in Hawaii! Too bad aloha means hello...and good-bye."
"1585612510-522","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Mallory_Hates_Boys_(and_Gym)","https://babysittersclub.fandom.com/wiki/Mallory_Hates_Boys_(and_Gym)","Mallory Hates Boys (and Gym)","The Baby-Sitters Club","59","Ann M. Martin, Suzanne Weyn","Hodges Soileau","Boys and gym. What a disgusting combination!","November 1992","Dear Reader,"
"1585612754-993","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Get_Well_Soon,_Mallory","https://babysittersclub.fandom.com/wiki/Get_Well_Soon,_Mallory","Get Well Soon, Mallory","The Baby-Sitters Club","69","Ann M. Martin","Hodges Soileau","How will the BSC survive without her?","November 1993","Mallory is crushed. So are the Baby-sitters. It's bad enough that Dawn is away in California. But now it looks like Mallory's out of the club, too...."
"1585612740-944","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Hello,_Mallory","https://babysittersclub.fandom.com/wiki/Hello,_Mallory","Hello, Mallory","The Baby-Sitters Club","14","Ann M. Martin","Hodges Soileau","Why are the BSC members making it so hard for Mallory to join their club?","June 1988 (original) 
 June 1996 (reprint)","Hello, Mallory is the fourteenth book in the original The Baby-Sitters Club series. Following Stacey's move, the club invites younger, former charge Mallory Pike and her friend Jessi Ramsey to join the club."
"1585612301-223","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Stacey_McGill,_Super_Sitter","https://babysittersclub.fandom.com/wiki/Stacey_McGill,_Super_Sitter","Stacey McGill, Super Sitter","The Baby-Sitters Club","94","Ann M. Martin, Suzanne Weyn","Hodges Soileau","Need a super sitter? Call Stacey McGill!","February 1996",""
"1585612246-143","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Stacey%27s_Lie","https://babysittersclub.fandom.com/wiki/Stacey%27s_Lie","Stacey's Lie","The Baby-Sitters Club","76","Ann M. Martin, Suzanne Weyn","Hodges Soileau","If her father ever finds out...","June 1994","Will Stacey pick Robert over her dad and Claudia? Or will Claudia and Stacey's dad find out that she's been lying to them? Can Stacey lie her way out of all this or will she tell the truth and face the consequences?"
"1585612643-763","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Mother%27s_Day_Surprise","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Mother%27s_Day_Surprise","Kristy and the Mother's Day Surprise","The Baby-Sitters Club","24","Ann M. Martin","Hodges Soileau","Kristy's in for a big surprise!","May 1989","Dear Reader:"
"1585612620-716","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Vampires","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Vampires","Kristy and the Vampires","The Baby-Sitters Club Mystery","15","Ann M. Martin, Ellen Miles","Hodges Soileau","Strange things happen when Hollywood comes to Stoneybrook.","June 1994","Then accidents start to occur around Derek. The first couple accidents appear to be due to apparent clumsiness on his part such as stumbling when he gets out of his car & dropping a lamp, but the third accident is more serious. Derek is due to perform a stunt of his own where he falls through a pane of glass. The propmaster ordered special break-away glass for the shoot which won’t hurt Derek when he falls. After Derek’s little brother, Todd accidentally kicks a rock through the glass and breaks it, everyone discovers that the glass was real & Derek could’ve been badly injured if he had gone ahead with the stunt. The propmaster assures that he ordered breakaway glass from Rockaway and Sons (a local glass company) and doesn’t know how the real glass got there, but he gets fired anyway."
"1585612497-502","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Mallory%27s_Christmas_Wish","https://babysittersclub.fandom.com/wiki/Mallory%27s_Christmas_Wish","Mallory's Christmas Wish","The Baby-Sitters Club","92","Ann M. Martin, Peter Lerangis","Hodges Soileau","How did it get out of control?","December 1995",""
"1585612804-1085","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Dawn,_Diary_Three","https://babysittersclub.fandom.com/wiki/Dawn,_Diary_Three","Dawn, Diary Three","California Diaries","11","Ann M. Martin","null","Missing. Losing. Hurt.","February 1999",""
"1585612952-1340","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Disaster_Date","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Disaster_Date","Claudia and the Disaster Date","Baby-sitters Club: Friends Forever","12","Ann M. Martin","Jennifer Presant (Cover Design) 
 Chris Callis (Cover Photo)","null","October 2000","Alan Gray is immature, silly, goofy, and not to be trusted. Or at least that's what Claudia used to think."
"1585612616-709","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Walking_Disaster","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Walking_Disaster","Kristy and the Walking Disaster","The Baby-Sitters Club","20","Ann M. Martin","Hodges Soileau","Guess which one's the walking disaster!","January 1989 (original)
 December 1996 (reprint)","When Kristy sees how much her little brothers and sister want to play on a softball team, she starts a rag-tag team of her own. Maybe Kristy's Krushers aren't world champions (how could they be, with Jackie Rodowsky, walking disaster, playing for them?), but nobody beats them when it comes to team spirit."
"1585612747-978","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Graduation_Day","https://babysittersclub.fandom.com/wiki/Graduation_Day","Graduation Day","Baby-sitters Club: Friends Forever","Super Special #2","Ann M. Martin","null","null","October 2000","As always, I want to thank Laura Godwin."
"1585612707-879","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Jessi%27s_Baby-sitter","https://babysittersclub.fandom.com/wiki/Jessi%27s_Baby-sitter","Jessi's Baby-sitter","The Baby-Sitters Club","36","Ann M. Martin","Hodges Soileau","Jessi doesn't need baby-sitter - she is one!","August 1990","Jessi can't believe it. Her dreaded Aunt Cecelia is moving in to take care of Jessi and her brother and sister. How humiliating — Jessi's going to have a baby-sitter!"
"1585613013-1455","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Baby-sitters%27_Christmas_Chiller","https://babysittersclub.fandom.com/wiki/Baby-sitters%27_Christmas_Chiller","Baby-sitters' Christmas Chiller","Super Mystery","4","Ann M. Martin, Nola Thacker","Hodges Soileau","It's beginning to look a lot like...danger!","December 1997","Baby-sitters' Christmas Chiller is the fourth book in the Baby-Sitters Club Super Mystery series."
"1585612369-324","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Mind_Your_Own_Business,_Kristy","https://babysittersclub.fandom.com/wiki/Mind_Your_Own_Business,_Kristy!","Mind Your Own Business, Kristy!","The Baby-Sitters Club","107","Ann M. Martin, Peter Lerangis","Hodges Soileau","Oh brother!","April 1997","Mom’s parents lived in Winter Park, which is very near Disney World. My sister and I had visited Disneyland when I was thirteen, and we loved it. Unfortunately for me, Disney World wasn’t completed until I was in college. So I didn’t get to visit it until I was an adult, and I was researching Baby-sitters on Board!, the first BSC Super Special. What a fun reason to visit Disney World for the first time."
"1585612983-1423","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Beware,_Dawn","https://babysittersclub.fandom.com/wiki/Beware,_Dawn","Beware, Dawn","The Baby-Sitters Club Mystery","2","Ann M. Martin, Ellen Miles","Hodges Soileau","Someone is out to scare Dawn!","November 1991","Dawn isn't the only BSC member to get visits from Mr. X: Jessi gets a bouquet of dead flowers with an note in them while she's sitting at home; Mary Anne & Mallory get a note threatening the Pikes' hamster, Frodo. Everyone in the club gets notes from Mr. X except for Kristy, who has been acting very competitive. Dawn believes that Kristy is ""Mr. X."" in order to ruin everyone else's chances of being the first ""Sitter of the Month."""
"1585612955-1352","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Clue_in_the_Photograph","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Clue_in_the_Photograph","Claudia and the Clue in the Photograph","The Baby-Sitter's Club Mystery","16","Ann M. Martin, Ellen Miles","Hodges Soileau","Has Claudia caught a thief — on film?","August 1994","Sergeant Johnson questions Mr. Zibreski when the girls bring their new photos down to the station & the girls listen as Mr. Zibreski confesses to the crime. Claudia learns that it was Janine who opened the door to the darkroom & not the criminal. Janine had ruined Claudia’s pictures once before by doing that & was too embarrassed to admit that she made the same mistake."
"1585612401-383","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Mary_Anne_Misses_Logan","https://babysittersclub.fandom.com/wiki/Mary_Anne_Misses_Logan","Mary Anne Misses Logan","The Baby-Sitters Club","46","Ann M. Martin","Hodges Soileau","Nothing beats your friends. But even so...","August 1991","Mary Anne Misses Logan is the 46th book in The Baby-Sitters Club series by Ann M. Martin."
"1585612651-771","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Missing_Child","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Missing_Child","Kristy and the Missing Child","The Baby-Sitters Club Mystery","4","Ann M. Martin, Ellen Miles","Hodges Soileau","Everyone in Stoneybrook is shocked. Jake is gone — for real.","May 1992","Later that evening, Mrs. Kuhn calls Kristy to tell her that Jake never made it home. At first she thinks that Jake went to a friend's house, but after some phone calls, nobody has seen Jake which prompts Mrs. Kuhn to believe that her ex-husband possibly took him. The divorce was recent and the kids have been missing their dad a lot."
"1585612903-1262","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Recipe_for_Danger","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Recipe_for_Danger","Claudia and the Recipe for Danger","The Baby-Sitters Club Mystery","21","Ann M. Martin, Ellen Miles","Hodges Soileau","Somebody's cooking up trouble...","August 1995","Claudia is determined to find out who's to blame. But she'll have to hurry... the competition is getting more dangerous every day!"
"1585612177-36","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/The_Summer_Before","https://babysittersclub.fandom.com/wiki/The_Summer_Before","The Summer Before","The Baby-Sitters Club","Prequel","Ann M. Martin","null","null","April 2010 (Hardcover) 
 April 2011 (paperback)","Ann M. Martin wrote The Summer Before as a prequel to The Baby-Sitters Club when, in 2011, Scholastic, Inc. decided to re-release the first four books to a new generation. The Summer Before revolves around the four original BSC members (Kristy, Mary Anne, Claudia, and Stacey) during the summer between sixth and seventh grade (when Kristy has her idea for the club). The book rotates between each character and each chapter is told from a different character's first person point of view."
"1585612598-678","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Kristy_in_Charge","https://babysittersclub.fandom.com/wiki/Kristy_in_Charge","Kristy in Charge","The Baby-Sitters Club","122","Ann M. Martin, Suzanne Weyn","Hodges Soileau","Who's the boss?","September 1998","For one crazy week, the kids at Stoneybrook Middle School have become ... teachers! Mallory faces an out-of-control English class. Mary Anne is student-teaching social studies. And Kristy has her first-choice assignment — teaching gym!"
"1585612518-538","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Mallory_and_the_Mystery_Diary","https://babysittersclub.fandom.com/wiki/Mallory_and_the_Mystery_Diary","Mallory and the Mystery Diary","The Baby-Sitters Club","29","Ann M. Martin","Hodges Soileau","A locked trunk and a secret diary all add up to... a mystery for the Baby-sitters!","November 1989","The last entry in Sophie’s diary was written on December, 31, 1894."
"1585612172-13","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Welcome_Back,_Stacey!","https://babysittersclub.fandom.com/wiki/Welcome_Back,_Stacey!","Welcome Back, Stacey!","The Baby-Sitters Club","28","Ann M. Martin","Hodges Soileau","She's home for good!","October 1989","Welcome Back, Stacey! is the 28th book in The Baby-Sitters Club series."
"1585612391-358","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Mary_Anne_vs._Logan","https://babysittersclub.fandom.com/wiki/Mary_Anne_vs._Logan","Mary Anne vs. Logan","The Baby-Sitters Club","41","Ann M. Martin","Hodges Soileau","The Baby-sitters thought Mary Anne and Logan would be together forever...","February 1991","Mary Anne vs. Logan is the 41st book in The Baby-Sitters Club series by Ann M. Martin."
"1585612689-840","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Jessi%27s_Wish","https://babysittersclub.fandom.com/wiki/Jessi%27s_Wish","Jessi's Wish","The Baby-Sitters Club","48","Ann M. Martin","Hodges Soileau","Do wishes really come true?","October 1991","Jessi never met anyone like Danielle before. Even though she is very sick, Danielle is courageous and hopeful. She even has two wishes. The first is to go to Disney World. The second is to graduate from elementary school. Jessi knows she has to be strong for Danielle, and so she makes a very special wish of her own."
"1585612572-652","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Kristy%27s_Great_Idea","https://babysittersclub.fandom.com/wiki/Kristy%27s_Great_Idea","Kristy's Great Idea","The Baby-Sitters Club","1","Ann M. Martin","Dale Dyer (1986)
Hodges Soileau (1995)","Four friends and baby-sitting — what could be more fun?","August 1986 (original) 
 September 1995 (reprint) 
 September 2001 (reprint) 
 March 2010 (reprint) 
 May 5, 2020 (reprint)","The different covers of this book."
"1585612664-799","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Dirty_Diapers","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Dirty_Diapers","Kristy and the Dirty Diapers","The Baby-Sitters Club","89","Ann M. Martin, Peter Lerangis","Hodges Soileau","The Krushers need a change — but this is ridiculous!","September 1995","Kristy and the Dirty Diapers is the first book in which Abby Stevenson, the new member of the Baby-sitters Club, and her twin, Anna, appear. When we decided to fill Dawn’s spot in the club with a new character, we also decided to let our readers name the character. Over the years we’ve received many letters from kids suggesting new characters, or names for new characters. So my editors agreed to run a contest to name the new character. Because it takes a year or more to make a book, and because we were already writing about the new character, we had to call her something until the contest was over. So guess what — we called her Lucy Ricardo (after my favorite TV character) and we named her twin Ethel (after Lucy Ricardo’s best friend). I wrote ten manuscripts using the names Lucy and Ethel Ricardo before the contest was over. We had to go back through all those manuscripts before they could be published and change every Lucy and Ethel to Abby and Anna! It was a lot of work, but running the contest was a lot of fun, too. Welcome to the series, Abby and Anna!"
"1585612612-703","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Worst_Kid_Ever","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Worst_Kid_Ever","Kristy and the Worst Kid Ever","The Baby-Sitters Club","62","Ann M. Martin","Hodges Soileau","Need a sitter for Lou? Don't call the baby-sitters!","March 1993","For a long time I had wanted to write a story about foster children. One day my editors and I had a meeting and tried to figure out what the next year’s worth of Baby-sitters Club books would be about. We thought of ideas for twelve books, and decided that #35 would be the story about foster kids. We also decided that a great title for this book would be Stacey and the New Kids on the Block (the “new kids” being foster kids who move into Stacey’s neighborhood)."
"1585612758-999","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Farewell,_Dawn","https://babysittersclub.fandom.com/wiki/Farewell,_Dawn","Farewell, Dawn","The Baby-Sitters Club","88","Ann M. Martin, Suzanne Weyn","Hodges Soileau","This time it's for good.","August 1995","But it sure isn't easy. It is tough to hear her friends talk about replacing her in the BSC. Even worse, Dawn can't figure out how to break the news to Mary Anne. How can she tell her best friend and stepsister that she wants to leave — forever?"
"1585612297-211","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Stacey_McGill..._Matchmaker%3F","https://babysittersclub.fandom.com/wiki/Stacey_McGill..._Matchmaker%3F","Stacey McGill... Matchmaker?","The Baby-Sitters Club","124","Ann M. Martin, Suzanne Weyn","Hodges Soileau","Stacey's building a better parent trap...","November 1998","A new family has come to town — and Stacey's their new sitter! The Brooke kids are both cute and friendly. And their father — well, Stacey thinks their father would be a perfect match for her mom."
"1585612965-1377","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Claudia_and_Crazy_Peaches","https://babysittersclub.fandom.com/wiki/Claudia_and_Crazy_Peaches","Claudia and Crazy Peaches","Baby-Sitters Club","78","Ann M. Martin","Hodges Soileau","null","September 1994","Claudia would give anything to take back her angry words now. Is there any way she can make things right again?"
"1585613030-1489","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Amalia,_Diary_Three","https://babysittersclub.fandom.com/wiki/Amalia,_Diary_Three","Amalia, Diary Three","California Diaries","14","Ann M. Martin","null","Confusion. Pain. Away.","April 2000","Planning her parents’ 25th anniversary party, she starts to wonder if she should even invite her extended Hispanic family to this town. Can her friends and boyfriend reassure her that she belongs in the same world as they do?"
"1585612721-912","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Jessi_and_the_Jewel_Thieves","https://babysittersclub.fandom.com/wiki/Jessi_and_the_Jewel_Thieves","Jessi and the Jewel Thieves","The Baby-Sitters Club Mystery","8","Ann M. Martin, Ellen Miles","Dan Brown","They don't have criminals like these in Stoneybrook.","April 1993","The next day, Jessi and Quint try to solve the case; first, they go through the garbage & then later follow Red & Frank to a fancy jewelry store. When they go back to Quint's apartment, they hear Frank & Red arguing again, but one of them switches his words around & then apologizes to the other guy for messing up his lines. Jessi and Quint realize that they're not thieves, they're actors."
"1585612907-1265","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Phantom_Phone_Calls","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Phantom_Phone_Calls","Claudia and the Phantom Phone Calls","The Baby-Sitters Club","2","Ann M. Martin","Dale Dyer (original)
Hodges Soileau (re-release, 1995)","Claudia's not sure she wants to find out who's on the other end of the line.","October 1986 (original) 
September 1995 (reprint) 
 March 2010 (reprint)
 May 5, 2020 (reprint)","A jewel thief nicknamed The Phantom Caller has been operating in areas near to Stoneybrook. He steals jewelry and calls people's homes to find out if anyone's home (if there is and someone answers, he doesn't say anything) and he sometimes calls more than once. He waits for them to go out and when/if they do, he robs them of their precious items (that he knows about because they have talked about it) and leaves. He mostly does it to wealthy people. If they don't leave the house, he will rob them anyway and is so quiet, you don't even know he's there. The baby sitters hear about his recent robberies in cities close to Stoneybrook and decide to take action. They make sure they know where every BSC member is sitting and when and set up burglar alarms and secret codes, just in case The Phantom Caller, or any burglar, comes to the houses' they are baby sitting at. Claudia and the rest of the BSC members get the calls that start to be just annoying... and then creepy... Who's stalking The Baby Sitters Club? And is it...The Phantom Caller? Is Stoneybrook next on his list?"
"1585612182-45","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/The_Secret_Life_of_Mary_Anne_Spier","https://babysittersclub.fandom.com/wiki/The_Secret_Life_of_Mary_Anne_Spier","The Secret Life of Mary Anne Spier","The Baby-Sitters Club","114","Ann M. Martin, Suzanne Weyn","Hodges Soileau","Nobody can ever know the truth...","December 1997","The Secret Life of Mary Anne Spier is the 114th book in The Baby-Sitters Club series by Ann M. Martin."
"1585612317-247","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Stacey_and_the_Mystery_at_the_Mall","https://babysittersclub.fandom.com/wiki/Stacey_and_the_Mystery_at_the_Mall","Stacey and the Mystery at the Mall","The Baby-Sitters Club Mystery","14","Ann M. Martin, Ellen Miles","Hodges Soileau","Shopping has become a dangerous business...","April 1994","Stacey is excited about working at Toy Town; April, the woman who runs the story is very nice and the store has lots of neat toys, but there’s only one problem which April warns Stacey about which is shoplifting. When Stacey meets up with her friends during her break time, she learns that all of them have been given the same speech by their new bosses. Shoplifting happens during Stacey’s first week at Toy Town and she blames herself, but April assures her that it’s not her fault."
"1585612734-935","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Jessi_and_the_Awful_Secret","https://babysittersclub.fandom.com/wiki/Jessi_and_the_Awful_Secret","Jessi and the Awful Secret","The Baby-Sitters Club","61","Ann M. Martin, Suzanne Weyn","Hodges Soileau","Only Jessi knows what's really wrong with Mary.","February 1993","Happy reading — and be healthy!"
"1585613032-1492","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Amalia_(California_Diaries)","https://babysittersclub.fandom.com/wiki/Amalia_(California_Diaries)","Amalia (California Diaries)","California Diaries","4","Ann M. Martin","Stieg Retlin (interior)","Love. Not.","December 1997","But I couldn't help it. I was in no condition to write last night."
"1585612997-1445","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Baby-sitters%27_Haunted_House","https://babysittersclub.fandom.com/wiki/Baby-sitters%27_Haunted_House","Baby-sitters' Haunted House","Super Mystery","1","Ann M. Martin, Jeanne Betancourt","Hodges Soileau","The BSC will protect the kids... but who will protect the BSC?","June 1995","Baby-sitters' Haunted House is the first book in the Baby-Sitters Club Super Mystery series."
"1585612292-207","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Stacey_the_Math_Whiz","https://babysittersclub.fandom.com/wiki/Stacey_the_Math_Whiz","Stacey the Math Whiz","The Baby-Sitters Club","105","Ann M. Martin, Peter Lerangis","Hodges Soileau","Stacey's going to show SMS how cool math can be!","February 1997","""Joining the Mathletes and feeling confident after her first math meet triumph, Stacey is troubled when her father gets tickets to a huge rock concert on the same night of the Mathletes championship."""
"1585612777-1032","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Don%27t_Give_Up,_Mallory!","https://babysittersclub.fandom.com/wiki/Don%27t_Give_Up,_Mallory!","Don't Give Up, Mallory!","The Baby-Sitters Club","108","Ann M. Martin, Jahnna Beecham and Malcolm Hillgartner","Hodges Soileau","It's Mallory's favorite subject. So why does she hate the class?","May 1997","Mal's thrilled with the subject of the new Short Takes class: Children's Literature, her favorite! But when the course begins, she couldn't be more disappointed. It's all discussion and no writing, which she hates. When she does raise her hand, the teacher, Mr. Cobb, ignores her."
"1585612987-1431","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Baby-sitters%27_Winter_Vacation","https://babysittersclub.fandom.com/wiki/Baby-sitters%27_Winter_Vacation","Baby-sitters' Winter Vacation","Super Special","3","Ann M. Martin","Hodges Soileau","Ready, aim, fire! The Baby-sitters are off for a week of fun!","December 1989","Every year Stoneybrook Middle School (the whole school!) gets invited to Leicester Lodge in Vermont for a week of winter adventure!"
"1585612550-610","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Logan_Likes_Mary_Anne!","https://babysittersclub.fandom.com/wiki/Logan_Likes_Mary_Anne!","Logan Likes Mary Anne!","The Baby-Sitters Club","10","Ann M. Martin","Hodges Soileau","Mary Anne has a crush — on a boy baby-sitter!","February 1988 (original)
 September 1, 2020 (reprint)","There's a new boy at Stoneybrook Middle School named Logan Bruno! He has just moved to Stoneybrook from Kentucky and has met Mary Anne, and he is in love! Plus, she likes him back!"
"1585612394-367","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Mary_Anne_to_the_Rescue","https://babysittersclub.fandom.com/wiki/Mary_Anne_to_the_Rescue","Mary Anne to the Rescue","The Baby-Sitters Club","109","Ann M. Martin, Peter Lerangis","Hodges Soileau","Logan's parents want to send him away...","June 1997","Life's been rough lately for Mary Anne. The members of the Baby-sitters Club are taking an intensive first aid class — and Mary Anne is scared to death. She's not sure she'll ever be prepared for a big emergency."
"1585612616-707","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Walking_Disaster","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Walking_Disaster","Kristy and the Walking Disaster","The Baby-Sitters Club","20","Ann M. Martin","Hodges Soileau","Guess which one's the walking disaster!","January 1989 (original)
 December 1996 (reprint)","Kristy soon discovers that hers is not the only non-little league team in the area when she meets Bart Taylor, a thirteen year old boy who lives around the corner from her. Bart coaches Bart's Bashers, a team of older kids who don't play Little League. During one practice, Bart brings some of his players out to watch the Krushers practice. The Basher players keep distracting Bart so they can make fun of and insult many of the Krusher players. Bart challenges Kristy to a game, which she accepts. Nicky Pike was asked to pitch during the game but came down with a fever the morning of the game, leaving David Michael and Jake Kuhn to pitch for the Krushers. During the game, Jackie Rodowsky knocks over the refreshment table and the Pike triplets show up in their Little League uniforms to cheer on the Krushers. Although the Bashers won the seven inning game 16-11, Kristy realizes how much her teams loves to play and how much team spirit they have, even if they know they aren't the best players."
"1585612773-1027","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Ducky_(California_Diaries)","https://babysittersclub.fandom.com/wiki/Ducky_(California_Diaries)","Ducky (California Diaries)","California Diaries","5","Ann M. Martin","null","Guys. Girls. Nowhere.","February 1998","Sophomore Christopher McCrae has been called “Ducky” for as long as he can remember. It wasn’t his choice, but it fits because it’s weird and funny, just like him. Ducky’s nickname has not changed, but other things have."
"1585612527-560","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Mallory_and_the_Dream_Horse","https://babysittersclub.fandom.com/wiki/Mallory_and_the_Dream_Horse","Mallory and the Dream Horse","The Baby-Sitters Club","54","Ann M. Martin, Jahnna Beecham and Malcolm Hillgartner","Hodges Soileau","Mallory's gone horse crazy!","May 1992","Then Mallory's parents agree to let her take professional riding lessons. It's a dream come true! Mallory is so excited she can hardly concentrate at the BSC meetings anymore. But then the lessons begin and Mallory discovers that dreaming about horses can be a lot more fun than actually riding them."
